nome_municipio,codigo_ibge,SG_UF,FEMININO,MASCULINO,NÃO DIVULGÁVEL,NÃO INFORMADO
CRAÍBAS,2702355,AL,5,49,0,0
CRICIÚMA,4204608,SC,11,79,0,0
CRISSIUMAL,4306007,RS,9,43,0,0
CRISTAIS,3120201,MG,8,40,0,0
CRISTAIS PAULISTA,3513207,SP,10,39,0,0
CRISTAL,4306056,RS,5,45,0,0
CRISTAL DO SUL,4306072,RS,3,49,0,0
CRISTALINA,5206206,GO,13,47,0,0
CRISTALÂNDIA,1706100,TO,9,42,0,0
CRISTALÂNDIA DO PIAUÍ,2203008,PI,6,45,1,0
CRISTIANO OTONI,3120409,MG,5,44,0,0
CRISTIANÓPOLIS,5206305,GO,9,42,0,0
CRISTINA,3120508,MG,4,45,0,0
CRISTINO CASTRO,2203107,PI,10,43,0,0
CRISTINÁPOLIS,2801702,SE,15,43,0,0
CRISTÁLIA,3120300,MG,10,42,0,0
CRISTÓPOLIS,2909703,BA,6,47,0,0
CRISÓLITA,3120151,MG,5,47,0,0
CRISÓPOLIS,2909604,BA,6,51,0,0
CRIXÁS,5206404,GO,3,55,0,0
CRIXÁS DO TOCANTINS,1706258,TO,9,43,0,0
CROATÁ,2304236,CE,18,39,0,0
CROMÍNIA,5206503,GO,10,41,0,0
CRUCILÂNDIA,3120607,MG,1,47,0,0
CRUZ,2304251,CE,7,56,0,0
CRUZ ALTA,4306106,RS,14,66,0,0
CRUZ DAS ALMAS,2909802,BA,8,68,0,0
CRUZ DO ESPÍRITO SANTO,2504900,PB,9,50,0,0
CRUZ MACHADO,4106803,PR,1,57,0,0
CRUZALTENSE,4306130,RS,1,51,0,0
CRUZEIRO,3513405,SP,6,49,0,0
CRUZEIRO DA FORTALEZA,3120706,MG,5,46,0,0
CRUZEIRO DO IGUAÇU,4106571,PR,7,45,0,0
CRUZEIRO DO OESTE,4106605,PR,13,43,0,0
CRUZEIRO DO SUL,1200203,AC,4,62,0,0
CRUZEIRO DO SUL,4106704,PR,8,43,0,0
CRUZEIRO DO SUL,4306205,RS,11,40,0,0
CRUZETA,2403004,RN,15,37,0,0
CRUZMALTINA,4106852,PR,16,36,0,0
CRUZÁLIA,3513306,SP,9,43,0,0
CRUZÍLIA,3120805,MG,11,37,0,0
CUBATI,2505006,PB,6,46,0,0
CUBATÃO,3513504,SP,7,65,0,0
CUIABÁ,5103403,MT,9,114,0,0
CUITEGI,2505204,PB,7,45,0,0
CUITÉ,2505105,PB,8,56,0,0
CUITÉ DE MAMANGUAPE,2505238,PB,4,45,0,1
CUJUBIM,1100940,RO,3,51,0,0
CUMARI,5206602,GO,5,46,0,0
CUMARU,2604908,PE,6,55,0,0
CUMARU DO NORTE,1502764,PA,3,48,0,0
CUMBE,2801900,SE,4,48,0,0
CUNHA,3513603,SP,3,57,0,0
CUNHA PORÃ,4204707,SC,14,39,0,0
CUNHATAÍ,4204756,SC,7,45,0,0
CUPARAQUE,3120839,MG,7,45,0,0
CUPIRA,2605004,PE,10,48,0,0
CURAÇÁ,2909901,BA,7,57,0,0
CURIMATÁ,2203206,PI,15,37,0,0
CURIONÓPOLIS,1502772,PA,11,47,0,0
CURITIBA,4106902,PR,32,177,0,0
CURITIBANOS,4204806,SC,9,59,0,0
CURIÚVA,4107009,PR,5,46,0,0
CURRAIS,2203230,PI,4,44,0,0
CURRAIS NOVOS,2403103,RN,10,52,0,0
CURRAL DE CIMA,2505279,PB,8,46,0,0
CURRAL DE DENTRO,3120870,MG,10,42,0,0
CURRAL NOVO DO PIAUÍ,2203271,PI,9,43,0,0
CURRAL VELHO,2505303,PB,9,43,0,0
CURRALINHO,1502806,PA,9,39,0,0
CURRALINHOS,2203255,PI,3,46,0,0
CURURUPU,2103703,MA,4,55,0,0
CURUÁ,1502855,PA,10,38,0,0
CURUÇÁ,1502905,PA,11,52,0,0
CURVELO,3120904,MG,9,66,0,0
CURVELÂNDIA,5103437,MT,2,48,0,0
CUSTÓDIA,2605103,PE,8,51,0,0
CUTIAS,1600212,AP,7,44,0,0
CÁCERES,5102504,MT,7,49,0,0
CÁSSIA,3115102,MG,5,44,0,0
CÁSSIA DOS COQUEIROS,3510906,SP,12,41,0,0
CÂNDIDO DE ABREU,4104402,PR,3,51,0,0
CÂNDIDO GODÓI,4304309,RS,9,43,0,0
CÂNDIDO MENDES,2102606,MA,11,45,0,0
CÂNDIDO MOTA,3510005,SP,6,47,0,0
CÂNDIDO RODRIGUES,3510104,SP,5,49,0,0
CÂNDIDO SALES,2906709,BA,10,50,0,0
CÉU AZUL,4105300,PR,8,44,0,0
CÍCERO DANTAS,2907806,BA,6,60,0,0
CÓRREGO DANTA,3119807,MG,4,45,0,0
CÓRREGO DO BOM JESUS,3119906,MG,7,45,0,0
CÓRREGO DO OURO,5205703,GO,3,49,0,0
CÓRREGO FUNDO,3119955,MG,5,46,0,0
CÓRREGO NOVO,3120003,MG,4,47,0,0
CÔNEGO MARINHO,3117836,MG,4,48,0,0
DAMIANÓPOLIS,5206701,GO,7,45,0,0
DAMIÃO,2505352,PB,9,43,0,0
DAMOLÂNDIA,5206800,GO,10,42,0,0
DARCINÓPOLIS,1706506,TO,7,44,0,0
DATAS,3121001,MG,3,44,0,0
DAVID CANABARRO,4306304,RS,10,42,0,0
DAVINÓPOLIS,2103752,MA,7,41,0,0
DAVINÓPOLIS,5206909,GO,4,48,0,0
DELFIM MOREIRA,3121100,MG,5,43,0,0
DELFINÓPOLIS,3121209,MG,11,41,0,0
DELMIRO GOUVEIA,2702405,AL,7,54,0,0
DELTA,3121258,MG,7,41,0,0
DEMERVAL LOBÃO,2203305,PI,7,43,0,0
DENISE,5103452,MT,13,38,0,0
DEODÁPOLIS,5003454,MS,7,43,0,0
DEPUTADO IRAPUAN PINHEIRO,2304269,CE,6,46,0,0
DERRUBADAS,4306320,RS,2,50,0,0
DESCALVADO,3513702,SP,1,55,0,0
DESCANSO,4204905,SC,6,46,0,0
DESCOBERTO,3121308,MG,10,39,0,0
DESTERRO,2505402,PB,7,45,0,0
DESTERRO DE ENTRE RIOS,3121407,MG,5,45,0,0
DESTERRO DO MELO,3121506,MG,5,47,0,0
DEZESSEIS DE NOVEMBRO,4306353,RS,4,48,0,0
DIADEMA,3513801,SP,13,93,0,0
DIAMANTE,2505600,PB,5,47,0,0
DIAMANTE D'OESTE,4107157,PR,3,49,0,0
DIAMANTE DO NORTE,4107108,PR,3,48,0,0
DIAMANTE DO SUL,4107124,PR,5,45,0,0
DIAMANTINA,3121605,MG,8,58,0,0
DIAMANTINO,5103502,MT,8,40,0,1
DIANÓPOLIS,1707009,TO,8,47,0,0
DIAS D'ÁVILA,2910057,BA,17,52,0,0
DILERMANDO DE AGUIAR,4306379,RS,8,43,0,0
DIOGO DE VASCONCELOS,3121704,MG,4,46,0,0
DIONÍSIO,3121803,MG,7,43,0,0
DIONÍSIO CERQUEIRA,4205001,SC,6,44,0,0
DIORAMA,5207105,GO,10,41,0,0
DIRCE REIS,3513850,SP,6,45,0,0
DIRCEU ARCOVERDE,2203354,PI,13,39,0,0
DIVINA PASTORA,2802007,SE,8,44,0,0
DIVINO,3122009,MG,6,53,0,0
DIVINO DAS LARANJEIRAS,3122108,MG,9,43,0,0
DIVINO DE SÃO LOURENÇO,3201803,ES,2,50,0,0
DIVINOLÂNDIA,3513900,SP,6,47,0,0
DIVINOLÂNDIA DE MINAS,3122207,MG,6,44,0,0
DIVINÉSIA,3121902,MG,13,38,0,0
DIVINÓPOLIS,3122306,MG,6,80,0,0
DIVINÓPOLIS DE GOIÁS,5208301,GO,10,40,0,0
DIVINÓPOLIS DO TOCANTINS,1707108,TO,7,41,0,0
DIVISA ALEGRE,3122355,MG,7,40,0,0
DIVISA NOVA,3122405,MG,5,45,0,0
DIVISÓPOLIS,3122454,MG,11,35,0,0
DOBRADA,3514007,SP,7,47,0,0
DOIS CÓRREGOS,3514106,SP,9,41,0,0
DOIS IRMÃOS,4306403,RS,6,46,0,0
DOIS IRMÃOS DAS MISSÕES,4306429,RS,8,43,0,0
DOIS IRMÃOS DO BURITI,5003488,MS,3,46,0,0
DOIS IRMÃOS DO TOCANTINS,1707207,TO,6,44,0,0
DOIS LAJEADOS,4306452,RS,3,48,0,0
DOIS RIACHOS,2702504,AL,6,46,0,0
DOIS VIZINHOS,4107207,PR,4,55,0,0
DOLCINÓPOLIS,3514205,SP,10,43,0,0
DOM AQUINO,5103601,MT,20,32,0,0
DOM BASÍLIO,2910107,BA,6,43,0,0
DOM BOSCO,3122470,MG,1,52,0,0
DOM CAVATI,3122504,MG,6,45,0,0
DOM ELISEU,1502939,PA,11,55,0,0
DOM EXPEDITO LOPES,2203404,PI,16,36,0,0
DOM FELICIANO,4306502,RS,5,45,0,0
DOM INOCÊNCIO,2203453,PI,2,50,0,0
DOM JOAQUIM,3122603,MG,9,41,0,0
DOM MACEDO COSTA,2910206,BA,9,43,0,0
DOM PEDRITO,4306601,RS,10,57,0,0
DOM PEDRO,2103802,MA,12,47,0,0
DOM PEDRO DE ALCÂNTARA,4306551,RS,3,46,0,0
DOM SILVÉRIO,3122702,MG,6,44,0,0
DOM VIÇOSO,3122801,MG,3,48,0,0
DOMINGOS MARTINS,3201902,ES,6,60,0,0
DOMINGOS MOURÃO,2203420,PI,10,41,0,0
DONA EMMA,4205100,SC,13,39,0,0
DONA EUSÉBIA,3122900,MG,1,51,0,0
DONA FRANCISCA,4306700,RS,7,45,0,0
DONA INÊS,2505709,PB,10,43,0,0
DORES DE CAMPOS,3123007,MG,3,48,0,0
DORES DE GUANHÃES,3123106,MG,1,49,0,0
DORES DO INDAIÁ,3123205,MG,2,47,0,0
DORES DO RIO PRETO,3202009,ES,8,46,0,0
DORES DO TURVO,3123304,MG,0,50,0,0
DORESÓPOLIS,3123403,MG,3,49,0,0
DORMENTES,2605152,PE,25,32,0,0
DOURADINA,4107256,PR,2,49,0,0
DOURADINA,5003504,MS,6,46,0,0
DOURADO,3514304,SP,6,44,0,0
DOURADOQUARA,3123502,MG,8,43,0,0
DOURADOS,5003702,MS,9,81,0,0
DOUTOR CAMARGO,4107306,PR,7,43,0,0
DOUTOR MAURÍCIO CARDOSO,4306734,RS,3,49,0,0
DOUTOR PEDRINHO,4205159,SC,9,42,0,0
DOUTOR RICARDO,4306759,RS,12,42,0,0
DOUTOR SEVERIANO,2403202,RN,15,37,0,0
DOUTOR ULYSSES,4128633,PR,7,44,0,0
DOVERLÂNDIA,5207253,GO,4,47,0,0
DRACENA,3514403,SP,7,56,0,0
DUARTINA,3514502,SP,7,42,0,0
DUAS BARRAS,3301603,RJ,2,47,0,0
DUAS ESTRADAS,2505808,PB,10,43,0,0
DUERÉ,1707306,TO,8,43,0,0
DUMONT,3514601,SP,6,44,0,0
DUQUE BACELAR,2103901,MA,5,43,0,0
DUQUE DE CAXIAS,3301702,RJ,15,125,0,0
DURANDÉ,3123528,MG,9,41,0,0
DÁRIO MEIRA,2910008,BA,6,45,0,0
ECHAPORÃ,3514700,SP,4,47,0,0
ECOPORANGA,3202108,ES,1,62,0,0
EDEALINA,5207352,GO,9,42,0,0
EDÉIA,5207402,GO,8,45,0,0
EIRUNEPÉ,1301407,AM,2,57,0,0
ELDORADO,3514809,SP,8,46,0,0
ELDORADO,5003751,MS,8,41,0,0
ELDORADO DO SUL,4306767,RS,4,46,0,0
ELDORADO DOS CARAJÁS,1502954,PA,5,51,0,0
ELESBÃO VELOSO,2203503,PI,9,42,0,0
ELIAS FAUSTO,3514908,SP,4,53,0,0
ELISEU MARTINS,2203602,PI,5,47,0,0
ELISIÁRIO,3514924,SP,9,43,0,0
ELÍSIO MEDRADO,2910305,BA,16,38,0,0
ELÓI MENDES,3123601,MG,11,49,0,0
EMAS,2505907,PB,8,44,0,0
EMBAÚBA,3514957,SP,6,45,0,0
EMBU DAS ARTES,3515004,SP,12,73,0,0
EMBU-GUAÇU,3515103,SP,2,59,0,0
EMILIANÓPOLIS,3515129,SP,16,36,0,0
ENCANTADO,4306809,RS,7,52,0,0
ENCANTO,2403301,RN,13,39,0,0
ENCRUZILHADA,2910404,BA,16,41,0,0
ENCRUZILHADA DO SUL,4306908,RS,5,54,0,0
ENGENHEIRO BELTRÃO,4107504,PR,5,44,0,0
ENGENHEIRO CALDAS,3123700,MG,14,40,0,0
ENGENHEIRO COELHO,3515152,SP,2,51,0,0
ENGENHEIRO NAVARRO,3123809,MG,6,42,0,0
ENGENHEIRO PAULO DE FRONTIN,3301801,RJ,7,46,0,0
ENGENHO VELHO,4306924,RS,8,44,0,0
ENTRE FOLHAS,3123858,MG,5,43,0,0
ENTRE RIOS,2910503,BA,3,54,0,0
ENTRE RIOS,4205175,SC,5,47,0,0
ENTRE RIOS DE MINAS,3123908,MG,2,45,0,0
ENTRE RIOS DO OESTE,4107538,PR,5,47,0,0
ENTRE RIOS DO SUL,4306957,RS,4,48,0,0
ENTRE-IJUÍS,4306932,RS,5,45,0,0
ENVIRA,1301506,AM,10,46,0,0
ENÉAS MARQUES,4107405,PR,5,48,0,0
EPITACIOLÂNDIA,1200252,AC,9,42,0,0
EQUADOR,2403400,RN,5,47,0,0
EREBANGO,4306973,RS,4,48,0,0
ERECHIM,4307005,RS,14,74,0,0
ERERÊ,2304277,CE,10,41,0,0
ERMO,4205191,SC,1,51,0,0
ERNESTINA,4307054,RS,8,43,0,0
ERVAL GRANDE,4307203,RS,9,44,0,0
ERVAL SECO,4307302,RS,8,42,0,0
ERVAL VELHO,4205209,SC,6,44,0,0
ERVÁLIA,3124005,MG,7,52,0,0
ESCADA,2605202,PE,11,54,0,0
ESMERALDA,4307401,RS,6,46,0,0
ESMERALDAS,3124104,MG,14,44,0,0
ESPERA FELIZ,3124203,MG,6,49,0,0
ESPERANTINA,1707405,TO,6,44,0,0
ESPERANTINA,2203701,PI,5,61,0,0
ESPERANTINÓPOLIS,2104008,MA,12,49,0,0
ESPERANÇA,2506004,PB,4,61,0,0
ESPERANÇA DO SUL,4307450,RS,7,45,0,0
ESPERANÇA NOVA,4107520,PR,5,47,0,0
ESPIGÃO ALTO DO IGUAÇU,4107546,PR,7,45,0,0
ESPIGÃO DO OESTE,1100098,RO,5,51,0,0
ESPINOSA,3124302,MG,4,63,0,0
ESPLANADA,2910602,BA,8,57,0,0
ESPUMOSO,4307500,RS,6,45,0,0
ESPÍRITO SANTO,2403509,RN,18,34,0,0
ESPÍRITO SANTO DO DOURADO,3124401,MG,15,37,0,0
ESPÍRITO SANTO DO PINHAL,3515186,SP,10,42,0,0
ESPÍRITO SANTO DO TURVO,3515194,SP,14,34,0,0
ESTAÇÃO,4307559,RS,3,49,0,0
ESTEIO,4307708,RS,12,39,0,0
ESTIVA,3124500,MG,9,41,0,0
ESTIVA GERBI,3557303,SP,8,40,0,0
ESTREITO,2104057,MA,15,47,0,0
ESTRELA,4307807,RS,4,59,0,0
ESTRELA D'OESTE,3515202,SP,1,49,0,0
ESTRELA DALVA,3124609,MG,12,39,0,0
ESTRELA DE ALAGOAS,2702553,AL,10,47,0,0
ESTRELA DO INDAIÁ,3124708,MG,11,41,0,0
ESTRELA DO NORTE,3515301,SP,6,46,0,0
ESTRELA DO NORTE,5207501,GO,11,41,0,0
ESTRELA DO SUL,3124807,MG,4,47,0,0
ESTRELA VELHA,4307815,RS,12,40,0,0
ESTÂNCIA,2802106,SE,4,69,0,0
ESTÂNCIA VELHA,4307609,RS,12,38,0,0
EUCLIDES DA CUNHA,2910701,BA,12,63,0,0
EUCLIDES DA CUNHA PAULISTA,3515350,SP,5,42,0,0
EUGENÓPOLIS,3124906,MG,5,46,0,0
EUGÊNIO DE CASTRO,4307831,RS,13,39,0,0
EUNÁPOLIS,2910727,BA,6,72,0,0
EUSÉBIO,2304285,CE,16,53,0,0
EWBANK DA CÂMARA,3125002,MG,10,38,0,0
EXTREMA,3125101,MG,5,49,0,0
EXTREMOZ,2403608,RN,12,44,0,0
EXU,2605301,PE,6,60,0,0
FAGUNDES,2506103,PB,5,51,0,0
FAGUNDES VARELA,4307864,RS,5,46,0,0
FAINA,5207535,GO,8,40,0,0
FAMA,3125200,MG,4,44,0,0
FARIA LEMOS,3125309,MG,1,49,0,0
FARIAS BRITO,2304301,CE,8,54,0,0
FARO,1503002,PA,9,40,0,0
FAROL,4107553,PR,8,42,0,0
FARROUPILHA,4307906,RS,12,63,0,0
FARTURA,3515400,SP,5,43,0,0
FARTURA DO PIAUÍ,2203750,PI,2,49,0,0
FAXINAL,4107603,PR,13,38,0,0
FAXINAL DO SOTURNO,4308003,RS,6,46,0,0
FAXINAL DOS GUEDES,4205308,SC,3,48,0,0
FAXINALZINHO,4308052,RS,7,43,0,0
FAZENDA NOVA,5207600,GO,3,49,0,0
FAZENDA RIO GRANDE,4107652,PR,4,61,0,0
FAZENDA VILANOVA,4308078,RS,2,50,0,0
FEIJÓ,1200302,AC,16,46,0,0
FEIRA DA MATA,2910776,BA,6,45,0,0
FEIRA DE SANTANA,2910800,BA,13,102,0,0
FEIRA GRANDE,2702603,AL,4,54,0,0
FEIRA NOVA,2605400,PE,11,46,0,0
FEIRA NOVA,2802205,SE,4,49,0,0
FEIRA NOVA DO MARANHÃO,2104073,MA,7,44,0,0
FELIPE GUERRA,2403707,RN,3,49,0,0
FELISBURGO,3125606,MG,6,44,0,0
FELIXLÂNDIA,3125705,MG,10,38,0,0
FELIZ,4308102,RS,3,47,0,0
FELIZ DESERTO,2702702,AL,2,48,0,0
FELIZ NATAL,5103700,MT,12,39,0,0
FELÍCIO DOS SANTOS,3125408,MG,5,44,0,0
FERNANDES PINHEIRO,4107736,PR,10,40,0,0
FERNANDES TOURINHO,3125804,MG,8,44,0,0
FERNANDO FALCÃO,2104081,MA,7,43,0,0
FERNANDO PEDROZA,2403756,RN,2,50,0,0
FERNANDO PRESTES,3515608,SP,6,48,0,0
FERNANDÓPOLIS,3515509,SP,13,58,0,0
FERNÃO,3515657,SP,3,47,0,0
FERRAZ DE VASCONCELOS,3515707,SP,6,77,0,0
FERREIRA GOMES,1600238,AP,7,43,0,0
FERREIROS,2605509,PE,2,50,0,0
FERROS,3125903,MG,8,44,0,0
FERVEDOURO,3125952,MG,9,39,0,0
FIGUEIRA,4107751,PR,6,44,0,0
FIGUEIRÃO,5003900,MS,10,33,0,0
FIGUEIRÓPOLIS,1707652,TO,10,42,0,0
FIGUEIRÓPOLIS D'OESTE,5103809,MT,9,43,0,0
FILADÉLFIA,1707702,TO,6,45,0,0
FILADÉLFIA,2910859,BA,1,55,0,0
FIRMINO ALVES,2910909,BA,7,44,0,0
FIRMINÓPOLIS,5207808,GO,2,48,0,0
FLEXEIRAS,2702801,AL,10,39,0,0
FLOR DA SERRA DO SUL,4107850,PR,4,47,0,0
FLOR DO SERTÃO,4205357,SC,10,41,0,0
FLORA RICA,3515806,SP,6,48,0,0
FLORAÍ,4107801,PR,5,45,0,0
FLOREAL,3515905,SP,4,49,0,0
FLORES,2605608,PE,6,51,0,0
FLORES DA CUNHA,4308201,RS,8,46,0,0
FLORES DE GOIÁS,5207907,GO,8,40,0,0
FLORES DO PIAUÍ,2203800,PI,7,45,0,0
FLORESTA,2605707,PE,5,58,0,0
FLORESTA,4107900,PR,9,43,0,0
FLORESTA AZUL,2911006,BA,5,47,0,0
FLORESTA DO ARAGUAIA,1503044,PA,12,42,0,0
FLORESTA DO PIAUÍ,2203859,PI,7,45,0,0
FLORESTAL,3126000,MG,5,44,0,0
FLORESTÓPOLIS,4108007,PR,5,45,0,0
FLORIANO,2203909,PI,12,59,0,0
FLORIANO PEIXOTO,4308250,RS,13,39,0,0
FLORIANÓPOLIS,4205407,SC,7,107,0,0
FLORÂNIA,2403806,RN,12,41,0,0
FLORÍNEA,3516101,SP,3,48,0,0
FLÓRIDA,4108106,PR,12,40,0,0
FLÓRIDA PAULISTA,3516002,SP,6,45,0,0
FONTE BOA,1301605,AM,8,45,0,0
FONTOURA XAVIER,4308300,RS,12,40,0,0
FORMIGA,3126109,MG,7,52,0,0
FORMIGUEIRO,4308409,RS,8,44,0,0
FORMOSA,5208004,GO,8,73,0,0
FORMOSA DA SERRA NEGRA,2104099,MA,8,48,0,2
FORMOSA DO OESTE,4108205,PR,3,47,0,0
FORMOSA DO RIO PRETO,2911105,BA,13,44,0,0
FORMOSA DO SUL,4205431,SC,10,42,0,0
FORMOSO,3126208,MG,8,43,0,0
FORMOSO,5208103,GO,3,46,0,0
FORMOSO DO ARAGUAIA,1708205,TO,7,47,0,0
FORQUETINHA,4308433,RS,14,38,0,0
FORQUILHA,2304350,CE,12,45,0,0
FORQUILHINHA,4205456,SC,5,45,0,0
FORTALEZA,2304400,CE,34,199,0,0
FORTALEZA DE MINAS,3126307,MG,4,45,0,0
FORTALEZA DO TABOCÃO,1708254,TO,5,47,0,0
FORTALEZA DOS NOGUEIRAS,2104107,MA,10,41,0,0
FORTALEZA DOS VALOS,4308458,RS,11,41,0,0
FORTIM,2304459,CE,16,40,0,0
FORTUNA,2104206,MA,12,48,0,0
FORTUNA DE MINAS,3126406,MG,10,39,0,0
FOZ DO IGUAÇU,4108304,PR,11,77,0,0
FOZ DO JORDÃO,4108452,PR,8,41,0,0
FRAIBURGO,4205506,SC,7,52,0,0
FRANCA,3516200,SP,9,74,0,0
FRANCINÓPOLIS,2204006,PI,15,36,0,0
FRANCISCO ALVES,4108320,PR,6,46,0,0
FRANCISCO AYRES,2204105,PI,10,42,0,0
FRANCISCO BADARÓ,3126505,MG,3,48,0,0
FRANCISCO BELTRÃO,4108403,PR,10,56,0,0
FRANCISCO DANTAS,2403905,RN,5,47,0,0
FRANCISCO DUMONT,3126604,MG,2,48,0,0
FRANCISCO MACEDO,2204154,PI,6,46,0,0
FRANCISCO MORATO,3516309,SP,5,59,0,0
FRANCISCO SANTOS,2204204,PI,6,46,0,0
FRANCISCO SÁ,3126703,MG,10,49,0,0
FRANCISCÓPOLIS,3126752,MG,7,43,0,0
FRANCO DA ROCHA,3516408,SP,4,59,0,0
FRECHEIRINHA,2304509,CE,11,43,0,0
FREDERICO WESTPHALEN,4308508,RS,6,53,0,0
FREI GASPAR,3126802,MG,2,49,0,0
FREI INOCÊNCIO,3126901,MG,3,47,0,0
FREI LAGONEGRO,3126950,MG,2,50,0,0
FREI MARTINHO,2506202,PB,6,45,0,0
FREI MIGUELINHO,2605806,PE,3,49,0,0
FREI PAULO,2802304,SE,14,37,0,0
FREI ROGÉRIO,4205555,SC,9,43,0,0
FRONTEIRA,3127008,MG,8,42,0,0
FRONTEIRA DOS VALES,3127057,MG,4,47,0,0
FRONTEIRAS,2204303,PI,17,34,0,0
FRUTA DE LEITE,3127073,MG,4,48,0,0
FRUTAL,3127107,MG,13,63,0,0
FRUTUOSO GOMES,2404002,RN,6,46,0,0
FUNDÃO,3202207,ES,6,53,0,0
FUNILÂNDIA,3127206,MG,5,45,0,0
FÁTIMA,1707553,TO,6,43,0,0
FÁTIMA,2910750,BA,7,53,0,0
FÁTIMA DO SUL,5003801,MS,7,51,0,0
FÊNIX,4107702,PR,2,49,0,0
GABRIEL MONTEIRO,3516507,SP,9,44,0,0
GADO BRAVO,2506251,PB,8,45,0,0
GALILÉIA,3127305,MG,4,47,0,0
GALINHOS,2404101,RN,18,34,0,0
GALVÃO,4205605,SC,7,45,0,0
GAMELEIRA,2605905,PE,9,42,0,0
GAMELEIRA DE GOIÁS,5208152,GO,5,41,0,0
GAMELEIRAS,3127339,MG,7,45,0,0
GANDU,2911204,BA,7,58,0,0
GARANHUNS,2606002,PE,12,62,0,0
GARARU,2802403,SE,7,46,0,0
GARIBALDI,4308607,RS,10,45,0,0
GAROPABA,4205704,SC,4,47,0,0
GARRAFÃO DO NORTE,1503077,PA,3,53,0,0
GARRUCHOS,4308656,RS,8,43,0,0
GARUVA,4205803,SC,12,39,0,0
GARÇA,3516705,SP,8,59,0,0
GASPAR,4205902,SC,10,55,0,0
GASTÃO VIDIGAL,3516804,SP,7,45,0,0
GAURAMA,4308706,RS,4,47,0,0
GAVIÃO,2911253,BA,3,48,0,0
GAVIÃO PEIXOTO,3516853,SP,11,38,0,0
GAÚCHA DO NORTE,5103858,MT,5,46,0,0
GEMINIANO,2204352,PI,9,41,0,0
GENERAL CARNEIRO,4108502,PR,9,42,0,0
GENERAL CARNEIRO,5103908,MT,2,49,0,0
GENERAL CÂMARA,4308805,RS,3,45,0,0
GENERAL MAYNARD,2802502,SE,9,43,0,0
GENERAL SALGADO,3516903,SP,3,45,0,0
GENERAL SAMPAIO,2304608,CE,9,40,0,0
GENTIL,4308854,RS,11,41,0,0
GENTIO DO OURO,2911303,BA,0,52,0,0
GETULINA,3517000,SP,4,46,0,0
GETÚLIO VARGAS,4308904,RS,6,48,0,0
GILBUÉS,2204402,PI,12,42,0,0
GIRAU DO PONCIANO,2702900,AL,4,48,0,0
GIRUÁ,4309001,RS,9,49,0,0
GLAUCILÂNDIA,3127354,MG,2,47,0,0
GLICÉRIO,3517109,SP,6,44,0,0
GLORINHA,4309050,RS,5,47,0,0
GLÓRIA,2911402,BA,2,55,0,0
GLÓRIA D'OESTE,5103957,MT,3,47,0,0
GLÓRIA DE DOURADOS,5004007,MS,6,42,0,0
GLÓRIA DO GOITÁ,2606101,PE,9,46,0,0
GODOFREDO VIANA,2104305,MA,7,46,0,0
GODOY MOREIRA,4108551,PR,2,48,0,0
GOIABEIRA,3127370,MG,1,49,0,0
GOIANA,2606200,PE,11,60,0,0
GOIANDIRA,5208509,GO,4,47,0,0
GOIANINHA,2404200,RN,5,54,0,0
GOIANIRA,5208806,GO,9,43,0,0
GOIANORTE,1708304,TO,6,46,0,0
GOIANÁ,3127388,MG,2,47,0,0
GOIANÁPOLIS,5208400,GO,5,43,0,0
GOIANÉSIA,5208608,GO,6,68,0,0
GOIANÉSIA DO PARÁ,1503093,PA,6,55,0,0
GOIATINS,1709005,TO,5,45,0,0
GOIATUBA,5209101,GO,4,61,0,0
GOIOERÊ,4108601,PR,5,45,0,0
GOIOXIM,4108650,PR,1,49,0,0
GOIÁS,5208905,GO,11,37,0,0
GOIÂNIA,5208707,GO,20,172,0,0
GONGOGI,2911501,BA,5,43,0,0
GONZAGA,3127503,MG,3,47,0,0
GONÇALVES,3127404,MG,6,46,0,0
GONÇALVES DIAS,2104404,MA,4,56,0,0
GOUVEIA,3127602,MG,1,49,0,0
GOUVELÂNDIA,5209150,GO,4,47,0,0
GOVERNADOR ARCHER,2104503,MA,8,44,0,0
GOVERNADOR CELSO RAMOS,4206009,SC,2,48,0,0
GOVERNADOR DIX-SEPT ROSADO,2404309,RN,8,42,0,0
GOVERNADOR EDISON LOBÃO,2104552,MA,7,49,0,0
GOVERNADOR EUGÊNIO BARROS,2104602,MA,15,43,0,0
GOVERNADOR JORGE TEIXEIRA,1101005,RO,10,38,0,0
GOVERNADOR LINDENBERG,3202256,ES,5,44,0,0
GOVERNADOR LUIZ ROCHA,2104628,MA,11,41,0,0
GOVERNADOR MANGABEIRA,2911600,BA,10,47,0,0
GOVERNADOR NEWTON BELLO,2104651,MA,14,36,0,0
GOVERNADOR NUNES FREIRE,2104677,MA,8,45,0,0
GOVERNADOR VALADARES,3127701,MG,11,90,0,0
GRACCHO CARDOSO,2802601,SE,11,41,0,0
GRAJAÚ,2104800,MA,4,70,0,0
GRAMADO,4309100,RS,7,45,0,0
GRAMADO DOS LOUREIROS,4309126,RS,11,40,0,0
GRAMADO XAVIER,4309159,RS,2,48,0,0
GRANDES RIOS,4108700,PR,5,46,0,0
GRANITO,2606309,PE,5,47,0,0
GRANJA,2304707,CE,10,67,0,0
GRANJEIRO,2304806,CE,4,48,0,0
GRAVATAL,4206207,SC,5,46,0,0
GRAVATAÍ,4309209,RS,9,97,0,0
GRAVATÁ,2606408,PE,3,70,0,0
