nome_municipio,codigo_ibge,SG_UF,FEMININO,MASCULINO,NÃO DIVULGÁVEL,NÃO INFORMADO
ALTO PARAGUAI,5100508,MT,10,42,0,0
ALTO PARANÁ,4100608,PR,12,39,0,0
ALTO PARAÍSO,1100403,RO,3,52,0,0
ALTO PARAÍSO,4128625,PR,7,44,0,0
ALTO PARAÍSO DE GOIÁS,5200605,GO,7,43,0,0
ALTO PARNAÍBA,2100501,MA,5,44,0,0
ALTO PIQUIRI,4100707,PR,6,45,0,0
ALTO RIO DOCE,3102100,MG,5,48,0,0
ALTO RIO NOVO,3200359,ES,10,43,0,0
ALTO SANTO,2300705,CE,9,51,0,0
ALTO TAQUARI,5100607,MT,7,44,0,0
ALTOS,2200400,PI,6,57,0,0
ALTÔNIA,4100509,PR,5,46,0,0
ALUMÍNIO,3501152,SP,3,42,0,0
ALVARENGA,3102209,MG,4,47,0,0
ALVARÃES,1300029,AM,6,41,0,0
ALVINLÂNDIA,3501509,SP,7,44,0,0
ALVINÓPOLIS,3102308,MG,6,51,0,0
ALVORADA,1700707,TO,8,42,0,0
ALVORADA,4300604,RS,9,83,0,0
ALVORADA DE MINAS,3102407,MG,3,47,0,0
ALVORADA DO GURGUÉIA,2200459,PI,7,44,0,0
ALVORADA DO NORTE,5200803,GO,3,48,0,0
ALVORADA DO OESTE,1100346,RO,8,48,0,0
ALVORADA DO SUL,4100806,PR,4,46,0,0
ALÉM PARAÍBA,3101508,MG,9,56,0,0
AMAJARI,1400027,RR,5,45,0,0
AMAMBAI,5000609,MS,7,57,0,0
AMAPORÃ,4100905,PR,8,41,0,0
AMAPÁ,1600105,AP,9,42,0,0
AMAPÁ DO MARANHÃO,2100550,MA,11,39,0,0
AMARAJI,2600906,PE,11,36,0,0
AMARAL FERRADOR,4300638,RS,5,45,0,0
AMARALINA,5200829,GO,5,45,0,0
AMARANTE,2200509,PI,7,51,0,0
AMARANTE DO MARANHÃO,2100600,MA,14,50,0,0
AMARGOSA,2901007,BA,10,54,0,0
AMATURÁ,1300060,AM,4,45,0,0
AMERICANA,3501608,SP,6,84,0,0
AMERICANO DO BRASIL,5200852,GO,3,48,0,0
AMETISTA DO SUL,4300646,RS,11,41,0,0
AMONTADA,2300754,CE,5,63,0,0
AMORINÓPOLIS,5200902,GO,8,44,0,0
AMPARO,2500734,PB,11,41,0,0
AMPARO,3501905,SP,5,62,0,0
AMPARO DE SÃO FRANCISCO,2800100,SE,9,42,0,0
AMPARO DO SERRA,3102506,MG,7,43,0,0
AMPÉRE,4101002,PR,9,45,0,0
AMÉLIA RODRIGUES,2901106,BA,16,41,0,0
AMÉRICA DOURADA,2901155,BA,5,52,0,0
AMÉRICO BRASILIENSE,3501707,SP,11,51,0,0
AMÉRICO DE CAMPOS,3501806,SP,13,39,0,0
ANADIA,2700201,AL,8,49,0,0
ANAGÉ,2901205,BA,9,50,0,0
ANAHY,4101051,PR,12,39,0,0
ANAJATUBA,2100709,MA,8,49,0,0
ANAJÁS,1500701,PA,6,48,0,0
ANALÂNDIA,3502002,SP,1,48,0,0
ANAMÃ,1300086,AM,3,49,0,0
ANANINDEUA,1500800,PA,17,101,0,0
ANANÁS,1701002,TO,15,36,0,0
ANAPU,1500859,PA,12,40,0,0
ANAPURUS,2100808,MA,12,45,0,0
ANASTÁCIO,5000708,MS,3,54,0,0
ANAURILÂNDIA,5000807,MS,7,44,0,0
ANCHIETA,3200409,ES,7,51,0,0
ANCHIETA,4200804,SC,10,41,0,0
ANDARAÍ,2901304,BA,7,43,0,0
ANDIRÁ,4101101,PR,6,42,0,0
